city,state_id,state,county,lat,lng,population,density
Ferry Pass,FL,Florida,Escambia,30.5205,-87.1899,30526,888.9
San Lorenzo,CA,California,Alameda,37.6733,-122.1332,30420,3818.0
Granger,IN,Indiana,St. Joseph,41.7374,-86.1348,30394,477.1
Morristown,TN,Tennessee,Hamblen,36.2043,-83.3001,30387,417.7
Weatherford,TX,Texas,Parker,32.7536,-97.7723,30385,454.0
Northport,AL,Alabama,Tuscaloosa,33.2586,-87.5993,30334,573.4
Lawrenceville,GA,Georgia,Gwinnett,33.9523,-83.9932,30299,849.6
Galesburg,IL,Illinois,Knox,40.9506,-90.3763,30298,661.1
Zionsville,IN,Indiana,Boone,39.9897,-86.3182,30258,161.0
Highland Park,IL,Illinois,Lake,42.1823,-87.8104,30245,933.4
Austintown,OH,Ohio,Mahoning,41.0932,-80.7405,30179,979.2
Greenville,MS,Mississippi,Washington,33.385,-91.0514,30175,428.6
Liberty,MO,Missouri,Clay,39.2394,-94.4191,30129,425.3
Middletown,NY,New York,Orange,41.4459,-74.4236,30086,2039.0
Sanford,NC,North Carolina,Lee,35.4875,-79.177,30024,388.6
Monterey,CA,California,Monterey,36.5919,-121.8808,30014,1276.2
East Lake-Orient Park,FL,Florida,Hillsborough,27.997,-82.3653,30002,726.4
Southgate,MI,Michigan,Wayne,42.2047,-83.2057,29990,1636.0
Eastern Goleta Valley,CA,California,Santa Barbara,34.4448,-119.7879,29983,693.9
Chamblee,GA,Georgia,DeKalb,33.8842,-84.3007,29894,1499.3
Raytown,MO,Missouri,Jackson,38.9944,-94.4641,29893,1134.5
East Palo Alto,CA,California,San Mateo,37.4671,-122.1352,29888,4497.7
Carney,MD,Maryland,Baltimore,39.405,-76.5235,29873,1632.6
Algonquin,IL,Illinois,McHenry,42.1629,-88.3159,29869,982.2
Bella Vista,AR,Arkansas,Benton,36.4667,-94.2707,29818,245.6
Gloucester,MA,Massachusetts,Essex,42.626,-70.6897,29814,446.4
Crofton,MD,Maryland,Anne Arundel,39.0144,-76.68,29812,1721.7
Atascadero,CA,California,San Luis Obispo,35.4827,-120.6858,29771,450.9
Central,LA,Louisiana,East Baton Rouge,30.5593,-91.0369,29746,181.3
Oak Park,MI,Michigan,Oakland,42.4649,-83.1824,29677,2209.0
New Smyrna Beach,FL,Florida,Volusia,29.0249,-80.9652,29674,278.0
Winter Park,FL,Florida,Orange,28.5989,-81.3442,29672,1355.4
Eagle,ID,Idaho,Ada,43.7223,-116.3866,29665,350.3
Banning,CA,California,Riverside,33.946,-116.8992,29664,503.1
Garfield Heights,OH,Ohio,Cuyahoga,41.4199,-81.6038,29585,1477.9
Rahway,NJ,New Jersey,Union,40.6077,-74.2807,29582,2942.3
Melrose,MA,Massachusetts,Middlesex,42.4556,-71.059,29567,2312.7
Danville,IL,Illinois,Vermilion,40.1426,-87.6111,29534,669.7
Burton,MI,Michigan,Genesee,42.9974,-83.6175,29532,472.7
Hobart,IN,Indiana,Lake,41.514,-87.2729,29516,414.5
Fleming Island,FL,Florida,Clay,30.0988,-81.7124,29505,745.5
Fountain,CO,Colorado,El Paso,38.6886,-104.6829,29495,523.6
Texarkana,AR,Arkansas,Miller,33.436,-93.9959,29492,274.7
Laurel,MD,Maryland,Prince George's,39.0949,-76.8622,29438,2063.7
Suisun City,CA,California,Solano,38.2473,-122.0091,29436,2839.7
Fridley,MN,Minnesota,Anoka,45.0841,-93.2595,29422,1055.7
Matthews,NC,North Carolina,Mecklenburg,35.1195,-80.7101,29417,737.3
Lakewood Ranch,FL,Florida,Manatee,27.4185,-82.3948,29408,222.1
Jacksonville,AR,Arkansas,Pulaski,34.8807,-92.1304,29385,383.3
Schererville,IN,Indiana,Lake,41.4861,-87.4442,29381,729.6
Northampton,MA,Massachusetts,Hampshire,42.3266,-72.6745,29379,321.9
Erie,CO,Colorado,Weld,40.0404,-105.0399,29367,510.9
Fitchburg,WI,Wisconsin,Dane,42.9859,-89.4255,29361,332.1
Hazleton,PA,Pennsylvania,Luzerne,40.9505,-75.9725,29339,1603.6
Paragould,AR,Arkansas,Greene,36.0555,-90.5149,29327,349.3
Burbank,IL,Illinois,Cook,41.7444,-87.7686,29312,2634.1
Seguin,TX,Texas,Guadalupe,29.5891,-97.9676,29293,293.0
Bethany,OR,Oregon,Washington,45.5614,-122.837,29277,1989.9
Golden Gate,FL,Florida,Collier,26.1844,-81.7031,29271,3003.7
Kirkwood,MO,Missouri,St. Louis,38.5788,-90.4203,29233,1168.7
Shaker Heights,OH,Ohio,Cuyahoga,41.4744,-81.5496,29197,1666.1
Perry Hall,MD,Maryland,Baltimore,39.4068,-76.478,29165,1546.0
Englewood,NJ,New Jersey,Bergen,40.8917,-73.9736,29129,2225.5
Laplace,LA,Louisiana,St. John the Baptist,30.0731,-90.4758,29129,540.1
Magna,UT,Utah,Salt Lake,40.7634,-112.1599,29128,690.8
East Niles,CA,California,Kern,35.3683,-118.9225,29110,2114.3
Russellville,AR,Arkansas,Pope,35.2762,-93.1383,29057,398.7
Lake in the Hills,IL,Illinois,McHenry,42.1913,-88.3477,29024,1082.9
Lansing,IL,Illinois,Cook,41.5648,-87.5462,28916,1428.8
Summerlin South,NV,Nevada,Clark,36.1242,-115.3324,28861,1144.8
New Iberia,LA,Louisiana,Iberia,30.0049,-91.8202,28844,1003.8
Prosper,TX,Texas,Collin,33.2394,-96.8087,28825,396.7
Morrisville,NC,North Carolina,Wake,35.8368,-78.8348,28824,1206.2
Jamestown,NY,New York,Chautauqua,42.0976,-79.2367,28818,1270.7
Oakleaf Plantation,FL,Florida,Clay,30.1689,-81.8337,28808,661.8
Jeffersontown,KY,Kentucky,Jefferson,38.2049,-85.5701,28800,1020.0
Casselberry,FL,Florida,Seminole,28.6624,-81.3217,28750,1579.2
Madison Heights,MI,Michigan,Oakland,42.5073,-83.1034,28719,1634.6
Mehlville,MO,Missouri,St. Louis,38.5018,-90.3149,28672,1489.4
Walnut,CA,California,Los Angeles,34.0334,-117.8593,28641,1278.4
Harrison,NY,New York,Westchester,41.0236,-73.7193,28635,653.2
Monroeville,PA,Pennsylvania,Allegheny,40.4262,-79.7605,28607,539.8
McDonough,GA,Georgia,Henry,33.4397,-84.1505,28574,768.2
Stockbridge,GA,Georgia,Henry,33.5254,-84.2295,28567,829.9
Drexel Hill,PA,Pennsylvania,Delaware,39.9495,-75.3038,28538,3371.5
Glen Ellyn,IL,Illinois,DuPage,41.8666,-88.0629,28506,1563.6
Aberdeen,SD,South Dakota,Brown,45.4649,-98.4686,28500,661.9
Frankfort,KY,Kentucky,Franklin,38.1924,-84.8643,28479,724.2
